platform_id,manufacturer,manufacturer_code,code_type,source_pdf,notes
TOY-TUN-14-21-DC-SHORTB,SnugPro,66TTDC14,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-07-13-DC-VBED,SnugPro,55TT,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-07-13-RC-SHORTB,SnugPro,65TT,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-07-13-DC-SHORTB,SnugPro,65TTDC,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-04-06-DC-SHORTB,SnugPro,65TUNDC,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TUN-01-06-XC-SHORTB,SnugPro,65TUN,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-24P-DC-VBED,SnugPro,52TC24,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-24P-DC-SHORTB,SnugPro,62TC24,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-16-23-DC-VBED,SnugPro,52TCDC16,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-16-23-DC-SHORTB,SnugPro,62TCDC16,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-16-23-XC-SHORTB,SnugPro,62TCDC16,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-05-15-DC-VBED,SnugPro,64TCDC,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-05-15-DC-SHORTB,SnugPro,77TCDC,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-05-15-XC-SHORTB,SnugPro,77TCDC,model_id,data/sources/snugpro_2025-03-07.pdf,
TOY-TAC-05-15-RC-SHORTB,SnugPro,77TCR,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-TTN-16-24-DC-SHORTB,SnugPro,66NT16,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-TTN-04-11-DC-VBED,SnugPro,55NT,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-TTN-04-11-XC-SHORTB,SnugPro,65NT,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-FRONT-22-24-DC-VBED,SnugPro,4ANF22,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-FRONT-22-24-XC-SHORTB,SnugPro,60NF22,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-FRONT-05-18-XC-SHORTB,SnugPro,76NF,model_id,data/sources/snugpro_2025-03-07.pdf,
NIS-FRONT-05-18-DC-VBED,SnugPro,62NF,model_id,data/sources/snugpro_2025-03-07.pdf,
