year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2024,GMC,Sierra 1500,,Extended Cab,Short Bed,GMC-SRA-19-24-XC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 1500,,Double Cab,V-Bed,GMC-SRA-19-24-DC-VBED,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2019,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 1500,,Regular Cab,Long Bed,GMC-SRA-19-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 2500,,Crew Cab,Short Bed,GMC-SRA25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 2500,,Crew Cab,Short Bed,GMC-SRA25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 2500,,Crew Cab,Short Bed,GMC-SRA25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 2500,,Crew Cab,Short Bed,GMC-SRA25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 2500,,Crew Cab,Short Bed,GMC-SRA25-20-24-CC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 2500,,Regular Cab,Short Bed,GMC-SRA25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 2500,,Regular Cab,Short Bed,GMC-SRA25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 2500,,Regular Cab,Short Bed,GMC-SRA25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 2500,,Regular Cab,Short Bed,GMC-SRA25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 2500,,Regular Cab,Short Bed,GMC-SRA25-20-24-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 2500,,Crew Cab,Long Bed,GMC-SRA25-20-24-CC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 2500,,Crew Cab,Long Bed,GMC-SRA25-20-24-CC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 2500,,Crew Cab,Long Bed,GMC-SRA25-20-24-CC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 2500,,Crew Cab,Long Bed,GMC-SRA25-20-24-CC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 2500,,Crew Cab,Long Bed,GMC-SRA25-20-24-CC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 2500,,Regular Cab,Long Bed,GMC-SRA25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 2500,,Regular Cab,Long Bed,GMC-SRA25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 2500,,Regular Cab,Long Bed,GMC-SRA25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 2500,,Regular Cab,Long Bed,GMC-SRA25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 2500,,Regular Cab,Long Bed,GMC-SRA25-20-24-RC-LONGBE,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2020,GMC,Sierra 2500,,Double Cab,Short Bed,GMC-SRA25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2021,GMC,Sierra 2500,,Double Cab,Short Bed,GMC-SRA25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2022,GMC,Sierra 2500,,Double Cab,Short Bed,GMC-SRA25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2023,GMC,Sierra 2500,,Double Cab,Short Bed,GMC-SRA25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2024,GMC,Sierra 2500,,Double Cab,Short Bed,GMC-SRA25-20-24-DC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
2014,GMC,Sierra 1500,,Regular Cab,Short Bed,GMC-SRA-14-18-RC-SHORTB,partial,partial,,data/sources/snugpro_2025-03-07.pdf
