topper_brand,topper_model_series,topper_production_year_start,topper_production_year_end,fits_platform_id,confidence,fit_type,wrap_type,fit_notes,mounting_clamp_type,required_modifications,source_urls,verified_by,source_effective_date,has_custom_fit,has_skirted_sides,door_type,clamp_type_required,bed_size_class,model_id_alias,camera_compatible
SnugPro,UT PRO,,,FORD-F250-17-22-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F250-08-16-RC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F250-08-16-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F250-08-16-RC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,FORD-F250-08-16-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-F250-99-07-RC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,FORD-F250-99-07-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,FORD-RNG-24-DC-VBED,90,OEM,,Requires attaching kit,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,FORD-RNG-24-DC-VBED,90,OEM,,Requires attaching kit,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,FORD-RNG-19-23-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-RNG-19-23-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,FORD-RNG-93-11-XC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,FORD-MAV-22-24-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,TOY-TUN-22-24-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,TOY-TUN-22-24-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,TOY-TUN-14-21-DC-VBED,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,TOY-TUN-14-21-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,TOY-TUN-14-21-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,TOY-TUN-14-21-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,TOY-TUN-07-13-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,TOY-TAC-24P-DC-VBED,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,UT PRO,,,TOY-TAC-24P-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,False
SnugPro,XV,,,TOY-TAC-24P-DC-SHORTB,90,OEM,W,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,TOY-TAC-24P-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
