platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
FORD-F150-15-20-XC-SHORTB,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-15-20-RC-SHORTB,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-15-20-DC-SHORTB,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-15-20-RC-LONGBE,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-15-20-XC-LONGBE,F-150 (FD) (2015–2020),Ford,F-150,,2015,2020,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-09-14-DC-VBED,F-150 (FD) (2009–2014),Ford,F-150,,2009,2014,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-09-14-RC-SHORTB,F-150 (FD) (2009–2014),Ford,F-150,,2009,2014,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-09-14-DC-SHORTB,F-150 (FD) (2009–2014),Ford,F-150,,2009,2014,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-09-14-DC-LONGBE,F-150 (FD) (2009–2014),Ford,F-150,,2009,2014,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-04-08-XC-SHORTB,F-150 (F4) (2004–2008),Ford,F-150,,2004,2008,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-04-08-DC-VBED,F-150 (F4) (2004–2008),Ford,F-150,,2004,2008,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-04-08-XC-LONGBE,F-150 (F4) (2004–2008),Ford,F-150,,2004,2008,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-00-04-DC-VBED,SUPERCREW (2000–2004),Ford,F-150,,2000,2004,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F150-97-03-RC-SHORTB,Shortbed (F7) (1997–2003),Ford,F-150,,1997,2003,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
