fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_80fs17,LEER,100XQ,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,100XL,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,100XR,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,100R,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,Legend,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,100S,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,180,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_80fs17,LEER,122,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_8fsd,LEER,100R,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_8fsd,LEER,Legend,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_65fsd,LEER,100R,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_65fsd,LEER,Legend,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_8fsds,LEER,100R,OEM,X,True,windoor_and_option2,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_8fsds,LEER,Legend,OEM,X,True,,S,LS,,True,,,100,manufacturer,2025-01-24,,
leer_65fsds,LEER,100R,OEM,X,True,windoor_and_option2,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_65fsds,LEER,Legend,OEM,X,True,,S,SS,,True,,,100,manufacturer,2025-01-24,,
leer_4afr24,LEER,100XL,OEM,X,True,,**,FR,,True,,,100,manufacturer,2025-01-24,,
